epoch,test_accuracy,start_time,cur_time
1,97.7,1629376469.1298199,1629376475.0087545
2,98.43,1629376469.1298199,1629376480.8399754
3,98.66,1629376469.1298199,1629376486.8025482
4,99.01,1629376469.1298199,1629376492.7710109
5,98.72,1629376469.1298199,1629376498.4202576
6,99.18,1629376469.1298199,1629376504.4814255
7,99.09,1629376469.1298199,1629376510.249638
8,99.26,1629376469.1298199,1629376516.05852
9,99.2,1629376469.1298199,1629376521.8655102
10,99.09,1629376469.1298199,1629376527.771324
11,99.27,1629376469.1298199,1629376533.7525997
12,99.28,1629376469.1298199,1629376539.7330096
13,99.32,1629376469.1298199,1629376545.6743724
14,99.31,1629376469.1298199,1629376552.062338
15,99.33,1629376469.1298199,1629376557.9989216
16,99.26,1629376469.1298199,1629376563.8773623
17,99.27,1629376469.1298199,1629376569.7515292
18,99.38,1629376469.1298199,1629376575.607517
19,99.3,1629376469.1298199,1629376581.599314
20,99.35,1629376469.1298199,1629376587.5505245
