epoch,test_accuracy,start_time,cur_time
1,97.99,1629376941.0603335,1629376947.0433471
2,98.67,1629376941.0603335,1629376953.0660412
3,98.79,1629376941.0603335,1629376958.7748134
4,98.93,1629376941.0603335,1629376964.622214
5,99.0,1629376941.0603335,1629376970.5328312
6,99.13,1629376941.0603335,1629376976.5178788
7,99.1,1629376941.0603335,1629376982.3658319
8,99.12,1629376941.0603335,1629376988.6404536
9,99.14,1629376941.0603335,1629376994.6715896
10,99.29,1629376941.0603335,1629377000.3777828
11,99.19,1629376941.0603335,1629377006.476303
12,99.24,1629376941.0603335,1629377012.174294
13,99.27,1629376941.0603335,1629377018.121708
14,99.28,1629376941.0603335,1629377024.297318
15,99.32,1629376941.0603335,1629377030.07677
16,99.27,1629376941.0603335,1629377036.2835295
17,99.31,1629376941.0603335,1629377042.435458
18,99.19,1629376941.0603335,1629377048.519751
19,99.29,1629376941.0603335,1629377054.6016166
20,99.37,1629376941.0603335,1629377060.474002
