epoch,test_accuracy,start_time,cur_time
1,98.21,1629376823.003659,1629376829.1179996
2,98.38,1629376823.003659,1629376835.0611293
3,99.01,1629376823.003659,1629376840.9494567
4,99.04,1629376823.003659,1629376846.7965128
5,99.01,1629376823.003659,1629376852.7674713
6,99.12,1629376823.003659,1629376858.8398588
7,99.28,1629376823.003659,1629376864.7344415
8,99.15,1629376823.003659,1629376870.6083207
9,99.19,1629376823.003659,1629376876.4715211
10,99.29,1629376823.003659,1629376882.2930715
11,99.34,1629376823.003659,1629376888.2852137
12,99.33,1629376823.003659,1629376894.1206782
13,99.31,1629376823.003659,1629376900.035896
14,99.31,1629376823.003659,1629376905.9040904
15,99.34,1629376823.003659,1629376911.7648623
16,99.39,1629376823.003659,1629376917.731098
17,99.42,1629376823.003659,1629376923.5710185
18,99.34,1629376823.003659,1629376929.4073448
19,99.35,1629376823.003659,1629376935.2625744
20,99.36,1629376823.003659,1629376941.0556767
