epoch,test_accuracy,start_time,cur_time
1,94.74,1629375875.218555,1629375881.2728636
2,96.56,1629375875.218555,1629375887.1477485
3,97.38,1629375875.218555,1629375893.0833137
4,97.5,1629375875.218555,1629375898.9623156
5,98.1,1629375875.218555,1629375904.8911488
6,98.2,1629375875.218555,1629375910.9266531
7,98.58,1629375875.218555,1629375916.9475052
8,98.73,1629375875.218555,1629375922.9738085
9,98.71,1629375875.218555,1629375929.00873
10,98.59,1629375875.218555,1629375935.1278234
11,98.74,1629375875.218555,1629375941.1438746
12,98.7,1629375875.218555,1629375947.144956
13,98.7,1629375875.218555,1629375953.2120812
14,98.86,1629375875.218555,1629375959.277805
15,98.71,1629375875.218555,1629375965.1999717
16,98.85,1629375875.218555,1629375971.0831609
17,98.87,1629375875.218555,1629375976.9443886
18,99.01,1629375875.218555,1629375982.6106284
19,98.91,1629375875.218555,1629375988.215329
20,98.88,1629375875.218555,1629375994.275026
