epoch,test_accuracy,start_time,cur_time
1,97.58,1629376705.5861702,1629376711.3990393
2,98.47,1629376705.5861702,1629376717.360619
3,98.78,1629376705.5861702,1629376723.348655
4,98.79,1629376705.5861702,1629376729.156322
5,98.95,1629376705.5861702,1629376735.1075573
6,99.07,1629376705.5861702,1629376741.0069387
7,99.15,1629376705.5861702,1629376746.8482273
8,99.13,1629376705.5861702,1629376752.7241793
9,99.21,1629376705.5861702,1629376758.5842335
10,99.21,1629376705.5861702,1629376764.396816
11,99.25,1629376705.5861702,1629376770.0731337
12,99.25,1629376705.5861702,1629376775.952689
13,99.2,1629376705.5861702,1629376781.8391345
14,99.35,1629376705.5861702,1629376787.6503398
15,99.31,1629376705.5861702,1629376793.4191701
16,99.4,1629376705.5861702,1629376799.3490956
17,99.2,1629376705.5861702,1629376805.4074888
18,99.33,1629376705.5861702,1629376811.2134876
19,99.35,1629376705.5861702,1629376817.0351253
20,99.46,1629376705.5861702,1629376822.99836
