epoch,test_accuracy,start_time,cur_time
1,94.04,1629375278.9401994,1629375284.8222659
2,96.86,1629375278.9401994,1629375290.6100202
3,97.2,1629375278.9401994,1629375296.5266716
4,97.79,1629375278.9401994,1629375302.5327995
5,98.14,1629375278.9401994,1629375308.4343166
6,98.3,1629375278.9401994,1629375314.0214124
7,98.39,1629375278.9401994,1629375320.0456245
8,98.52,1629375278.9401994,1629375326.429487
9,98.25,1629375278.9401994,1629375332.585566
10,98.6,1629375278.9401994,1629375338.6413558
11,98.74,1629375278.9401994,1629375344.723624
12,98.74,1629375278.9401994,1629375350.7162857
13,98.53,1629375278.9401994,1629375356.5802848
14,98.81,1629375278.9401994,1629375362.1428895
15,98.81,1629375278.9401994,1629375367.9937296
16,98.88,1629375278.9401994,1629375373.9139671
17,98.74,1629375278.9401994,1629375379.9144073
18,98.89,1629375278.9401994,1629375385.8194778
19,98.7,1629375278.9401994,1629375391.7571588
20,99.0,1629375278.9401994,1629375397.6832755
