epoch,test_accuracy,start_time,cur_time
1,97.79,1629377534.1000917,1629377539.9151447
2,98.69,1629377534.1000917,1629377545.9574392
3,98.97,1629377534.1000917,1629377551.9322903
4,99.07,1629377534.1000917,1629377557.9555783
5,99.2,1629377534.1000917,1629377563.9574902
6,99.22,1629377534.1000917,1629377569.9269047
7,99.19,1629377534.1000917,1629377575.6232152
8,99.26,1629377534.1000917,1629377581.5123816
9,99.3,1629377534.1000917,1629377587.4465346
10,99.39,1629377534.1000917,1629377593.4641101
11,99.29,1629377534.1000917,1629377599.2203262
12,99.34,1629377534.1000917,1629377605.3125367
13,99.33,1629377534.1000917,1629377611.07833
14,99.37,1629377534.1000917,1629377616.86876
15,99.25,1629377534.1000917,1629377622.9093857
16,99.34,1629377534.1000917,1629377628.9265366
17,99.34,1629377534.1000917,1629377634.9105847
18,99.32,1629377534.1000917,1629377640.617356
19,99.44,1629377534.1000917,1629377646.5845876
20,99.42,1629377534.1000917,1629377652.6719916
