epoch,test_accuracy,start_time,cur_time
1,93.85,1629375397.6843998,1629375403.4889414
2,96.43,1629375397.6843998,1629375409.3277655
3,97.33,1629375397.6843998,1629375414.9397607
4,97.68,1629375397.6843998,1629375420.7738938
5,98.0,1629375397.6843998,1629375426.5018392
6,98.17,1629375397.6843998,1629375432.5170522
7,98.52,1629375397.6843998,1629375438.5613294
8,98.35,1629375397.6843998,1629375444.5192842
9,98.37,1629375397.6843998,1629375450.9643779
10,98.76,1629375397.6843998,1629375456.6864903
11,98.24,1629375397.6843998,1629375462.466524
12,98.7,1629375397.6843998,1629375468.5156572
13,98.76,1629375397.6843998,1629375474.500865
14,98.73,1629375397.6843998,1629375480.5944889
15,98.83,1629375397.6843998,1629375486.5847754
16,98.7,1629375397.6843998,1629375492.6039999
17,98.92,1629375397.6843998,1629375498.6418455
18,98.89,1629375397.6843998,1629375504.64929
19,98.88,1629375397.6843998,1629375510.6722634
20,98.83,1629375397.6843998,1629375516.7194338
