epoch,test_accuracy,start_time,cur_time
1,97.73,1629377415.2873237,1629377421.3116763
2,98.83,1629377415.2873237,1629377427.0981355
3,98.98,1629377415.2873237,1629377432.9266152
4,99.19,1629377415.2873237,1629377438.9233756
5,99.35,1629377415.2873237,1629377444.630925
6,99.04,1629377415.2873237,1629377450.4073014
7,99.18,1629377415.2873237,1629377456.2765877
8,99.4,1629377415.2873237,1629377462.235393
9,99.4,1629377415.2873237,1629377468.350874
10,99.44,1629377415.2873237,1629377474.4727695
11,99.3,1629377415.2873237,1629377480.4434674
12,99.34,1629377415.2873237,1629377486.340411
13,99.39,1629377415.2873237,1629377492.2632096
14,99.52,1629377415.2873237,1629377498.1400573
15,99.48,1629377415.2873237,1629377504.3466606
16,99.46,1629377415.2873237,1629377510.3403535
17,99.41,1629377415.2873237,1629377516.2614398
18,99.38,1629377415.2873237,1629377522.2367969
19,99.42,1629377415.2873237,1629377528.0484157
20,99.38,1629377415.2873237,1629377534.094957
