epoch,test_accuracy,start_time,cur_time
1,92.02,1629376351.6785195,1629376357.5513952
2,96.95,1629376351.6785195,1629376363.4409492
3,97.84,1629376351.6785195,1629376369.2770705
4,97.68,1629376351.6785195,1629376375.1812556
5,98.25,1629376351.6785195,1629376380.9252977
6,98.39,1629376351.6785195,1629376386.7407002
7,98.51,1629376351.6785195,1629376392.7788942
8,98.65,1629376351.6785195,1629376398.8921466
9,98.5,1629376351.6785195,1629376404.8152168
10,98.74,1629376351.6785195,1629376410.4099767
11,98.61,1629376351.6785195,1629376416.365867
12,98.81,1629376351.6785195,1629376422.2639613
13,98.86,1629376351.6785195,1629376428.1667223
14,98.68,1629376351.6785195,1629376434.0584173
15,98.85,1629376351.6785195,1629376439.6315763
16,98.81,1629376351.6785195,1629376445.511085
17,98.87,1629376351.6785195,1629376451.4192543
18,98.85,1629376351.6785195,1629376457.2298255
19,98.83,1629376351.6785195,1629376463.1610494
20,99.0,1629376351.6785195,1629376469.1245391
