epoch,test_accuracy,start_time,cur_time
1,94.17,1629376233.4793296,1629376239.4887247
2,96.52,1629376233.4793296,1629376245.1667185
3,97.25,1629376233.4793296,1629376251.2187054
4,97.95,1629376233.4793296,1629376257.2254674
5,98.01,1629376233.4793296,1629376263.1503248
6,98.29,1629376233.4793296,1629376269.2135093
7,98.44,1629376233.4793296,1629376275.4013374
8,98.16,1629376233.4793296,1629376281.024757
9,98.68,1629376233.4793296,1629376287.1676133
10,98.73,1629376233.4793296,1629376293.1528444
11,98.89,1629376233.4793296,1629376299.1115758
12,98.83,1629376233.4793296,1629376304.801844
13,98.79,1629376233.4793296,1629376310.726419
14,98.96,1629376233.4793296,1629376316.622467
15,98.79,1629376233.4793296,1629376322.3964796
16,98.92,1629376233.4793296,1629376328.186054
17,99.02,1629376233.4793296,1629376333.93395
18,98.98,1629376233.4793296,1629376339.6832435
19,98.79,1629376233.4793296,1629376345.6952415
20,98.94,1629376233.4793296,1629376351.6774983
