epoch,test_accuracy,start_time,cur_time
1,94.37,1629375635.1120143,1629375641.307533
2,96.63,1629375635.1120143,1629375647.3175058
3,97.56,1629375635.1120143,1629375653.4924664
4,97.91,1629375635.1120143,1629375659.4790049
5,98.17,1629375635.1120143,1629375665.147565
6,98.36,1629375635.1120143,1629375671.1934009
7,98.19,1629375635.1120143,1629375677.1274714
8,98.72,1629375635.1120143,1629375683.277964
9,98.84,1629375635.1120143,1629375689.3114529
10,98.85,1629375635.1120143,1629375695.3550098
11,98.93,1629375635.1120143,1629375701.5170996
12,98.85,1629375635.1120143,1629375707.3020911
13,98.75,1629375635.1120143,1629375713.2288673
14,98.97,1629375635.1120143,1629375719.2618
15,99.06,1629375635.1120143,1629375725.5410764
16,98.75,1629375635.1120143,1629375731.461635
17,98.73,1629375635.1120143,1629375737.510064
18,99.09,1629375635.1120143,1629375743.5423634
19,99.01,1629375635.1120143,1629375749.7025177
20,99.02,1629375635.1120143,1629375755.7482872
