epoch,test_accuracy,start_time,cur_time
1,95.13,1629375994.2761574,1629376000.1896636
2,96.55,1629375994.2761574,1629376006.2591262
3,97.6,1629375994.2761574,1629376012.0304441
4,97.93,1629375994.2761574,1629376017.7907302
5,98.3,1629375994.2761574,1629376023.8679774
6,98.32,1629375994.2761574,1629376029.7140343
7,98.34,1629375994.2761574,1629376035.6081266
8,98.31,1629375994.2761574,1629376041.604959
9,98.58,1629375994.2761574,1629376047.7158408
10,98.72,1629375994.2761574,1629376053.7294457
11,98.64,1629375994.2761574,1629376059.7755702
12,98.65,1629375994.2761574,1629376065.890352
13,98.77,1629375994.2761574,1629376071.9409637
14,98.72,1629375994.2761574,1629376077.93958
15,98.93,1629375994.2761574,1629376083.9136944
16,98.8,1629375994.2761574,1629376089.9674027
17,98.82,1629375994.2761574,1629376095.9679387
18,98.86,1629375994.2761574,1629376101.8322842
19,98.79,1629375994.2761574,1629376107.603442
20,98.91,1629375994.2761574,1629376113.6835086
