epoch,test_accuracy,start_time,cur_time
1,97.5,1629377060.4787025,1629377066.407926
2,98.58,1629377060.4787025,1629377072.2377827
3,98.77,1629377060.4787025,1629377077.871285
4,98.82,1629377060.4787025,1629377083.9510572
5,98.9,1629377060.4787025,1629377089.8419974
6,99.04,1629377060.4787025,1629377095.7144854
7,99.03,1629377060.4787025,1629377101.6609452
8,99.12,1629377060.4787025,1629377107.4919136
9,98.98,1629377060.4787025,1629377113.539333
10,99.31,1629377060.4787025,1629377119.511698
11,99.15,1629377060.4787025,1629377125.5328293
12,99.2,1629377060.4787025,1629377131.3166192
13,99.1,1629377060.4787025,1629377137.34544
14,99.19,1629377060.4787025,1629377143.3898492
15,99.22,1629377060.4787025,1629377149.3492482
16,99.24,1629377060.4787025,1629377155.0682592
17,99.29,1629377060.4787025,1629377161.286653
18,99.29,1629377060.4787025,1629377166.9935536
19,99.3,1629377060.4787025,1629377172.8630304
20,99.23,1629377060.4787025,1629377178.563691
