epoch,test_accuracy,start_time,cur_time
1,95.05,1629375755.7496328,1629375761.8175478
2,96.74,1629375755.7496328,1629375767.5371842
3,97.4,1629375755.7496328,1629375773.8085675
4,97.94,1629375755.7496328,1629375779.8746173
5,98.05,1629375755.7496328,1629375785.7813582
6,98.36,1629375755.7496328,1629375791.6945295
7,98.44,1629375755.7496328,1629375797.6322792
8,98.35,1629375755.7496328,1629375803.632761
9,98.65,1629375755.7496328,1629375809.7052033
10,98.51,1629375755.7496328,1629375815.7464132
11,98.78,1629375755.7496328,1629375821.7202177
12,98.64,1629375755.7496328,1629375827.7455618
13,98.82,1629375755.7496328,1629375833.7651312
14,98.74,1629375755.7496328,1629375839.7741692
15,98.81,1629375755.7496328,1629375845.818339
16,98.81,1629375755.7496328,1629375851.7334657
17,98.83,1629375755.7496328,1629375857.7104664
18,98.95,1629375755.7496328,1629375863.3800235
19,98.95,1629375755.7496328,1629375869.4090495
20,99.02,1629375755.7496328,1629375875.2173636
