epoch,test_accuracy,start_time,cur_time
1,95.63,1629376113.684685,1629376119.7451653
2,97.01,1629376113.684685,1629376125.4015121
3,97.55,1629376113.684685,1629376131.4338064
4,97.91,1629376113.684685,1629376137.4499876
5,97.86,1629376113.684685,1629376143.4653955
6,98.26,1629376113.684685,1629376149.4693022
7,98.17,1629376113.684685,1629376155.510518
8,98.3,1629376113.684685,1629376161.5938978
9,98.44,1629376113.684685,1629376167.1756947
10,98.49,1629376113.684685,1629376173.2496064
11,98.7,1629376113.684685,1629376179.2362359
12,98.67,1629376113.684685,1629376185.2937448
13,98.58,1629376113.684685,1629376191.3413382
14,98.62,1629376113.684685,1629376197.3915849
15,98.56,1629376113.684685,1629376203.3531914
16,98.87,1629376113.684685,1629376209.462118
17,98.89,1629376113.684685,1629376215.6650581
18,98.86,1629376113.684685,1629376221.3382564
19,98.92,1629376113.684685,1629376227.4481387
20,98.82,1629376113.684685,1629376233.478082
