epoch,test_accuracy,start_time,cur_time
1,97.84,1629377178.5677867,1629377184.5612152
2,98.46,1629377178.5677867,1629377190.5620186
3,98.57,1629377178.5677867,1629377196.6571665
4,98.87,1629377178.5677867,1629377202.830548
5,99.03,1629377178.5677867,1629377208.694029
6,99.07,1629377178.5677867,1629377214.7033927
7,99.05,1629377178.5677867,1629377220.648371
8,99.05,1629377178.5677867,1629377226.5484
9,99.11,1629377178.5677867,1629377232.1989849
10,99.17,1629377178.5677867,1629377238.058459
11,99.27,1629377178.5677867,1629377243.9651217
12,99.11,1629377178.5677867,1629377249.8789458
13,99.26,1629377178.5677867,1629377255.7142148
14,99.25,1629377178.5677867,1629377261.5067499
15,99.25,1629377178.5677867,1629377267.545252
16,99.37,1629377178.5677867,1629377273.4770315
17,99.3,1629377178.5677867,1629377279.3573256
18,99.32,1629377178.5677867,1629377285.3374
19,99.27,1629377178.5677867,1629377291.1235569
20,99.34,1629377178.5677867,1629377296.8535664
